ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HORA,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,Calle,Altura,Cruce,Dirección Normalizada,COMUNA,pos x,pos y,PARTICIPANTES,VICTIMA,ACUSADO
2016-0015,1,2016-02-14,2016,2,14,,1970-01-01 00:00:00.000000005,AV SCALABRINI ORTIZ Y VERA,AVENIDA,"SCALABRINI ORTIZ, RAUL AV.","399, Avenida Raúl Scalabrini Ortiz, Villa Crespo, Buenos Aires, Comuna 15, Ciudad Autónoma de Buenos Aires, C1414DND, Argentina",VERA,"SCALABRINI ORTIZ, RAUL AV. y VERA",15,-58.4376002,-34.59912758,PEATON-AUTO,PEATON,AUTO
2016-0016,1,2016-02-14,2016,2,14,,1970-01-01 00:00:00.000000022,AV REGIMIENTO DE PATRICIOS Y QUINQUELA MARTIN BENITO,AVENIDA,REGIMIENTO DE PATRICIOS AV.,"1302, Benito Quinquela Martín, Barracas, Buenos Aires, Distrito de Las Artes, Comuna 4, Ciudad Autónoma de Buenos Aires, 1271, Argentina","QUINQUELA MARTIN, BENITO","REGIMIENTO DE PATRICIOS AV. y QUINQUELA MARTIN, BENITO",4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO
2016-0017,1,2016-02-15,2016,2,15,,1970-01-01 00:00:00.000000016,MARIANO ACOSTA Y ANA MARIA JANER,AVENIDA,"ACOSTA, MARIANO","Ana María Janer, Villa Soldati, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, 1523, Argentina","JANER, ANA MARIA","ACOSTA, MARIANO y JANER, ANA MARIA",8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO
2016-0019,1,2016-02-17,2016,2,17,,1970-01-01 00:00:00.000000009,LISANDRO DE LA TORRE Y SEVERO GARCIA GRANDE DE ZEQUEIRA ,CALLE,"DE LA TORRE, LISANDRO","1601, Lisandro de la Torre, Mataderos, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1440ABC, Argentina","GARCIA GRANDE DE ZEQUEIRA, SEVERO","DE LA TORRE, LISANDRO y GARCIA GRANDE DE ZEQUEIRA, SEVERO",9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0020,1,2016-02-17,2016,2,17,,1970-01-01 00:00:00.000000016,SUIPACHA 156,CALLE,SUIPACHA,156.0,"Casa de la Provincia de Tucumán, 140, Suipacha, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1008AAD, Argentina",SUIPACHA 156,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO
2016-0021,1,2016-02-17,2016,2,17,,1970-01-01 00:00:00.000000023,AV DIRECTORIO Y CURAPALIGUE,AVENIDA,DIRECTORIO AV.,"501, Curapaligüe, Parque Chacabuco, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1406GRT, Argentina",CURAPALIGUE,DIRECTORIO AV. y CURAPALIGUE,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO
2016-0022,1,2016-02-21,2016,2,21,,1970-01-01 00:00:00.000000006,AV 9 DE JULIO Y ADOLFO ALSINA,AVENIDA,9 DE JULIO AV.,"Adolfo Alsina, Monserrat, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1076, Argentina","ALSINA, ADOLFO","9 DE JULIO AV. y ALSINA, ADOLFO",1,-58.38144696,-34.61079875,MOTO-AUTO,MOTO,AUTO
2016-0025,1,2016-02-28,2016,2,28,,1970-01-01 00:00:00.000000004,AV GRAL PAZ Y AV 27 DE FEBRERO,GRAL PAZ,"PAZ, GRAL. AV.","Avenida General Paz, Barrio Sarmiento, Villa Celina, Partido de La Matanza, Buenos Aires, C1439FPF, Argentina",27 DE FEBRERO AV.,"PAZ, GRAL. AV. y 27 DE FEBRERO AV.",8,-58.46244952,-34.70524971,AUTO-AUTO,AUTO,AUTO
2016-0026,1,2016-02-28,2016,2,28,,1970-01-01 00:00:00.000000007,HOLMBERG Y VEDIA,CALLE,HOLMBERG,"Avenida General Paz, Saavedra, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, C1430DAK, Argentina",VEDIA,HOLMBERG y VEDIA,12,-58.49216191,-34.54738649,AUTO-OBJETO FIJO,AUTO,OBJETO FIJO
2016-0027,1,2016-02-28,2016,2,28,,1970-01-01 00:00:00.000000009,CURAPALIGUE Y AVELINO DIAZ,AVENIDA,CURAPALIGUE AV.,"1395, Avenida Curapaligüe, Parque Chacabuco, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, 1047, Argentina","DIAZ, AVELINO","CURAPALIGUE AV. y DIAZ, AVELINO",7,-58.44497874,-34.63852623,AUTO-AUTO,AUTO,AUTO
2016-0028,1,2016-03-02,2016,3,2,,1970-01-01 00:00:00.000000010,VIAMONTE Y AV 9 DE JULIO,AVENIDA,VIAMONTE,"Viamonte, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1009, Argentina",9 DE JULIO AV.,VIAMONTE y 9 DE JULIO AV.,1,-58.38199706,-34.60028648,PEATON-CARGAS,PEATON,CARGAS
2016-0029,1,2016-03-04,2016,3,4,,1970-01-01 00:00:00.000000017,AV CABILDO Y DEHEZA,AVENIDA,CABILDO AV.,"Metrobús Norte, Saavedra, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, C1429ABE, Argentina",DEHEZA,CABILDO AV. y DEHEZA,12,-58.47378664,-34.54153077,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0031,1,2016-03-08,2016,3,8,,1970-01-01 00:00:00.000000012,AV GRAL PAZ Y AV CNEL ROCA,GRAL PAZ,"PAZ, GRAL. AV.","Avenida Coronel Roca, Villa Riachuelo, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, 1772, Argentina","ROCA, CNEL. AV.","PAZ, GRAL. AV. y ROCA, CNEL. AV.",8,-58.47064556,-34.69843756,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0034,1,2016-03-12,2016,3,12,,1970-01-01 00:00:00.000000012,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","3301, Avenida Amancio Alcorta, Nueva Pompeya, Buenos Aires, Distrito Tecnológico, Comuna 4, Ciudad Autónoma de Buenos Aires, C1437HUN, Argentina","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0035,1,2016-03-13,2016,3,13,,1970-01-01 00:00:00.000000006,AV CORRIENTES Y AV CALLAO,AVENIDA,CORRIENTES AV.,"Avenida Callao, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1045AAA, Argentina",CALLAO AV.,CORRIENTES AV. y CALLAO AV.,3,-58.39228965,-34.60443527,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0036,1,2016-03-14,2016,3,14,,1970-01-01 00:00:00.000000000,HERRERA Y ARISTOBULO DEL VALLE,CALLE,HERRERA,"Biblioteca Popular de Barracas, 1851, Aristóbulo Del Valle, Barracas, Buenos Aires, Comuna 4, Ciudad Autónoma de Buenos Aires, C1295ADM, Argentina","VALLE, ARISTOBULO DEL","HERRERA y VALLE, ARISTOBULO DEL",4,-58.37813396,-34.63668504,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0037,1,2016-03-19,2016,3,19,,1970-01-01 00:00:00.000000011,AV. EVA PERON Y QUIRNO,AVENIDA,LAFUENTE AV.,"3301, Avenida Eva Perón, Flores, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1406EZN, Argentina",QUIRNO,LAFUENTE AV. y QUIRNO,7,-58.46275892,-34.64358293,MOTO-MOTO,MOTO,MOTO
2016-0038,1,2016-03-21,2016,3,21,,1970-01-01 00:00:00.000000008,AV GRAL PAZ COLECTORA Y ZUVIRIA,GRAL PAZ,"PAZ, GRAL. AV.","Avenida General Paz, Villa Lugano, Buenos Aires, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439HWJ, Argentina",ZUVIRIA,"PAZ, GRAL. AV. y ZUVIRIA",8,-58.49683458,-34.67892743,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0039,1,2016-03-23,2016,3,23,,1970-01-01 00:00:00.000000001,BARTOLOME MITRE Y AV PUEYRREDON,AVENIDA,"MITRE, BARTOLOME","101, Avenida Pueyrredón, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, 1213, Argentina",PUEYRREDON AV.,"MITRE, BARTOLOME y PUEYRREDON AV.",3,-58.40603217,-34.6088396,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0041,2,2016-03-29,2016,3,29,,1970-01-01 00:00:00.000000011,AV DIRECTORIO Y RIVERA INDARTE,AVENIDA,DIRECTORIO AV.,"2399, Avenida Directorio, Flores, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, 1406, Argentina",RIVERA INDARTE AV.,DIRECTORIO AV. y RIVERA INDARTE AV.,7,-58.4607655,-34.63350444,MOTO-CARGAS,MOTO,CARGAS
2016-0043,1,2016-03-30,2016,3,30,,1970-01-01 00:00:00.000000018,DELLEPIANE LUIS TTE GRAL COLECTORA Y MURGUIONDO,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.","Murguiondo, Villa Lugano, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, 1439, Argentina",MURGUIONDO,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",8,-58.47832463,-34.67494416,PEATON-CARGAS,PEATON,CARGAS
2016-0044,1,2016-03-31,2016,3,31,,1970-01-01 00:00:00.000000019,AV JOSE MARIA MORENO Y BALBASTRO,AVENIDA,"MORENO, JOSE MARIA AV.","1599, Avenida José María Moreno, Parque Chacabuco, Buenos Aires, Comuna 7, Ciudad Autónoma de Buenos Aires, C1424BDV, Argentina",BALBASTRO,"MORENO, JOSE MARIA AV. y BALBASTRO",7,-58.43213235,-34.63693953,MULTIPLE,MOTO,MULTIPLE
2016-0045,1,2016-04-11,2016,4,11,,1970-01-01 00:00:00.000000010,AV GRAL PAZ Y AV DEL LIBERTADOR,GRAL PAZ,"PAZ, GRAL. AV.","1, Avenida del Libertador, Vicente López, Partido de Vicente López, Buenos Aires, C1429BNS, Argentina",DEL LIBERTADOR AV.,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",13,-58.46743471,-34.53476874,MOTO-SD,MOTO,SD
2016-0047,1,2016-04-15,2016,4,15,,1970-01-01 00:00:00.000000005,LIMA 1483,CALLE,LIMA,1483.0,"1485, Lima Oeste, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1153, Argentina",LIMA 1483,1,-58.38247061,-34.62571878,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0048,1,2016-04-15,2016,4,15,,1970-01-01 00:00:00.000000017,AV. CORRIENTES Y AV. DORREGO,AVENIDA,CORRIENTES AV.,"799, Avenida Dorrego, Chacarita, Buenos Aires, Distrito Audiovisual, Comuna 15, Ciudad Autónoma de Buenos Aires, C1414ALN, Argentina",DORREGO AV.,CORRIENTES AV. y DORREGO AV.,15,-58.44759966,-34.5917024,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0049,1,2016-04-17,2016,4,17,,1970-01-01 00:00:00.000000000,"AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI KM. 0,700",AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,"Biblioteca Popular de Barracas, 1851, Aristóbulo Del Valle, Barracas, Buenos Aires, Comuna 4, Ciudad Autónoma de Buenos Aires, C1295ADM, Argentina","Biblioteca Popular de Barracas, 1851, Aristóbulo Del Valle, Barracas, Buenos Aires, Comuna 4, Ciudad Autónoma de Buenos Aires, C1295ADM, Argentina",AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,-58.37714647568196,-34.63657525428238,SD-SD,SD,SD
2016-0050,1,2016-04-19,2016,4,19,,1970-01-01 00:00:00.000000009,TIMOTEO GORDILLO Y AV FERNANDEZ DE LA CRUZ,AVENIDA,"GORDILLO, TIMOTEO","6202, Avenida General Francisco Fernández de La Cruz, Villa Riachuelo, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439COV, Argentina","FERNANDEZ DE LA CRUZ, F., GRAL. AV.","GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.47305463,-34.68550712,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0051,1,2016-04-20,2016,4,20,,1970-01-01 00:00:00.000000004,AV AMANCIO ALCORTA Y BONAVENA,AVENIDA,"ALCORTA, AMANCIO AV.","3301, Avenida Amancio Alcorta, Nueva Pompeya, Buenos Aires, Distrito Tecnológico, Comuna 4, Ciudad Autónoma de Buenos Aires, C1437HUN, Argentina","BONAVENA, OSCAR NATALIO","ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",4,-58.40623949,-34.65076549,MOTO-CARGAS,MOTO,CARGAS
2016-0052,1,2016-04-20,2016,4,20,,1970-01-01 00:00:00.000000020,AUTOPISTA LUGONES PK 10000,AUTOPISTA,"LUGONES, LEOPOLDO AV.",,,,13,,,MOTO-SD,MOTO,SD
2016-0053,1,2016-04-22,2016,4,22,,1970-01-01 00:00:00.000000009,AV TRIUNVIRATO Y AV OLAZABAL,AVENIDA,TRIUNVIRATO AV.,"4899, Avenida Olazábal, Villa Urquiza, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, 1431, Argentina",OLAZABAL AV.,TRIUNVIRATO AV. y OLAZABAL AV.,12,-58.4842918,-34.57558053,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0054,1,2016-04-23,2016,4,23,,1970-01-01 00:00:00.000000021,AU LUIS DELLEPIANE Y AV GRAL PAZ,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"Avenida General Paz, Villa Lugano, Villa Madero, Partido de La Matanza, Buenos Aires, C1439EBA, Argentina","PAZ, GRAL. AV.","AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",8,-58.48695354,-34.68795245,MOTO-MOTO,MOTO,MOTO
2016-0055,1,2016-04-25,2016,4,25,,1970-01-01 00:00:00.000000020,RAMON CASTILLA Y AV FIGUEROA ALCORTA,AVENIDA,"CASTILLA, RAMON, MARISCAL","Avenida Presidente Figueroa Alcorta, Barrio Parque, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425CBA, Argentina","FIGUEROA ALCORTA, PRES. AV.","CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",14,-58.40021959,-34.57964781,PEATON-CARGAS,PEATON,CARGAS
2016-0056,1,2016-04-26,2016,4,26,,1970-01-01 00:00:00.000000004,AV LUIS MARIA CAMPOS 30,AVENIDA,"CAMPOS, LUIS M. AV.",30.0,"30, Avenida Luis María Campos, Palermo Pacífico, Palermo, Buenos Aires, Comuna 14, Ciudad Autónoma de Buenos Aires, C1425BHX, Argentina","CAMPOS, LUIS M. AV. 30",14,-58.42957885,-34.57660058,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0058,1,2016-05-04,2016,5,4,,1970-01-01 00:00:00.000000014,LIMA 1471,CALLE,LIMA,1471.0,"El Gitana, Lima Oeste, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1153, Argentina",LIMA 1471,1,-58.38247542,-34.62556293,PEATON-MOTO,PEATON,MOTO
2016-0059,1,2016-05-08,2016,5,8,,1970-01-01 00:00:00.000000016,PASAJE CIUDADELA Y LIMA OESTE,CALLE,CIUDADELA,"1647, Lima Oeste, Constitución, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, 1137, Argentina",LIMA,CIUDADELA y LIMA,1,-58.38222219,-34.62728101,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0064,1,2016-05-14,2016,5,14,,1970-01-01 00:00:00.000000018,AV JUAN B JUSTO Y AV CARRASCO,AVENIDA,"JUSTO, JUAN B. AV.","Avenida Carrasco, Vélez Sarsfield, Buenos Aires, Comuna 10, Ciudad Autónoma de Buenos Aires, C1407FAM, Argentina",CARRASCO AV.,"JUSTO, JUAN B. AV. y CARRASCO AV.",10,-58.49485242,-34.62953445,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0065,1,2016-05-20,2016,5,20,,1970-01-01 00:00:00.000000014,AV GAONA Y ESPINOSA,AVENIDA,GAONA AV.,"Nuestra Señora de los Buenos Aires, 1730, Avenida Gaona, Caballito, Buenos Aires, Comuna 6, Ciudad Autónoma de Buenos Aires, C1416DRE, Argentina",ESPINOSA,GAONA AV. y ESPINOSA,6,-58.45227946,-34.61068024,PEATON-AUTO,PEATON,AUTO
2016-0067,1,2016-05-21,2016,5,21,,1970-01-01 00:00:00.000000017,AV LISANDRO DE LA TORRE Y SARAZA,AVENIDA,"DE LA TORRE, LISANDRO","3800, Lisandro de la Torre, Villa 15 - Ciudad Oculta, Villa Lugano, Buenos Aires, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439ATC, Argentina",SARAZA,"DE LA TORRE, LISANDRO y SARAZA",8,-58.48455411,-34.6751276,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0068,1,2016-05-22,2016,5,22,,1970-01-01 00:00:00.000000022,AV FIGUEROA ALCORTA Y AV PUEYRREDON,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.","Avenida Presidente Figueroa Alcorta, La Isla, Recoleta, Buenos Aires, Comuna 2, Ciudad Autónoma de Buenos Aires, C1112ADE, Argentina",PUEYRREDON AV.,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",2,-58.39056593,-34.58418569,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0069,1,2016-05-23,2016,5,23,,1970-01-01 00:00:00.000000003,AV ENTRE RIOS Y PASAJE FILIBERTO,AVENIDA,ENTRE RIOS AV.,"1581, Avenida Entre Ríos, San Cristóbal, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, 1151, Argentina",FILIBERTO,ENTRE RIOS AV. y FILIBERTO,3,-58.39118948,-34.62704273,AUTO-CARGAS,AUTO,CARGAS
2016-0073,1,2016-06-11,2016,6,11,,1970-01-01 00:00:00.000000015,MAGARIÑOS CERVANTES 3900,CALLE,"MAGARI?OS CERVANTES, A.",3900.0,"1491, Bahía Blanca, Floresta, Buenos Aires, Comuna 10, Ciudad Autónoma de Buenos Aires, C1407FAE, Argentina","MAGARIÃ‘OS CERVANTES, A. 3900",10,-58.49021952,-34.62025108,MOTO-CARGAS,MOTO,CARGAS
2016-0074,1,2016-06-12,2016,6,12,,1970-01-01 00:00:00.000000006,AV GRAL PAZ Y RODOLFO SCAPINO,GRAL PAZ,"PAZ, GRAL. AV.","Avenida General Paz, Villa Lugano, La Tablada, Partido de La Matanza, Buenos Aires, C1439HWJ, Argentina","SCAPINO, RODOLFO","PAZ, GRAL. AV. y SCAPINO, RODOLFO",8,-58.49896559,-34.67732118,AUTO-AUTO,AUTO,AUTO
2016-0075,1,2016-06-12,2016,6,12,,1970-01-01 00:00:00.000000023,AUTOPISTA DELLEPIANE LUIS TTE GRAL Y MIRALLA,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,"5102, Teniente General Luís Dellepiane, Villa Lugano, Buenos Aires, Distrito del Deporte, Comuna 8, Ciudad Autónoma de Buenos Aires, C1439ETV, Argentina",MIRALLA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,8,-58.47461076,-34.66874679,PEATON-AUTO,PEATON,AUTO
2016-0076,1,2016-06-13,2016,6,13,,1970-01-01 00:00:00.000000016,AV SAN MARTIN Y CAMARONES,AVENIDA,SAN MARTIN AV.,"Metrobús San Martín, Villa General Mitre, Buenos Aires, Comuna 11, Ciudad Autónoma de Buenos Aires, C1416DJH, Argentina",CAMARONES,SAN MARTIN AV. y CAMARONES,15,-58.46210891,-34.60356211,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0077,1,2016-06-13,2016,6,13,,1970-01-01 00:00:00.000000021,TTEG JUAN D PERON Y AVDA LEANDRO N ALEM,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL","201, Teniente General Juan Domingo Perón, Microcentro, San Nicolás, Buenos Aires, Comuna 1, Ciudad Autónoma de Buenos Aires, C1038AAJ, Argentina","ALEM, LEANDRO N. AV.","PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",1,-58.3702777,-34.60536123,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0078,1,2016-06-13,2016,6,13,,1970-01-01 00:00:00.000000023,AV BELGRANO Y AV JUJUY,AVENIDA,BELGRANO AV.,"401, Avenida Jujuy, Once, Balvanera, Buenos Aires, Comuna 3, Ciudad Autónoma de Buenos Aires, C1231AAB, Argentina",JUJUY AV.,BELGRANO AV. y JUJUY AV.,3,-58.40491455,-34.6146383,MOTO-MOTO,MOTO,MOTO
2016-0079,1,2016-06-16,2016,6,16,,1970-01-01 00:00:00.000000017,AV DEL LIBERTADOR Y AV GUILLERMO UDAONDO,AVENIDA,DEL LIBERTADOR AV.,"Ibera, Núñez, Buenos Aires, Comuna 13, Ciudad Autónoma de Buenos Aires, C1429BMC, Argentina","UDAONDO, GUILLERMO AV.","DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",13,-58.45504154,-34.54864492,AUTO-AUTO,AUTO,AUTO
2016-0080,1,2016-06-18,2016,6,18,,1970-01-01 00:00:00.000000006,AV GRAL PAZ Y AV RIVADAVIA,GRAL PAZ,"PAZ, GRAL. AV.","Avenida Rivadavia, Liniers, Buenos Aires, Comuna 9, Ciudad Autónoma de Buenos Aires, C1408ABQ, Argentina",RIVADAVIA AV.,"PAZ, GRAL. AV. y RIVADAVIA AV.",9,-58.52927982,-34.63931752,AUTO-SD,AUTO,SD
2016-0081,1,2016-06-22,2016,6,22,,1970-01-01 00:00:00.000000007,AV CRISOLOGO LARRALDE Y MACHAIN,AVENIDA,"LARRALDE, CRISOLOGO AV.","3601, Machain, Saavedra, Buenos Aires, Comuna 12, Ciudad Autónoma de Buenos Aires, C1430APA, Argentina",MACHAIN,"LARRALDE, CRISOLOGO AV. y MACHAIN",12,-58.4872106,-34.55904606,MOTO-AUTO,MOTO,AUTO
